fullName,name,year,number
Population outside the labour force,populationForce,2011,1463.5
"Unemployment rate, percentage",unemploymentRatePercentage,2011,27.2
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2011,52.6
"Employment rate, percentage",employmentRatePercentage,2011,38.3
Total 15 + population,totalPopulationOfWorkingAge,2010,3114.8
"Labour force (Active population), total",labourForceTotal,2010,1603.8
Employed,employed,2010,1167.6
Hired,hired,2010,710
Self-employed,selfEmployed,2010,455.2
Not-identified worker,notIdentifiedWorker,2010,2.5
Unemployed,unemployed,2010,436.2
Population outside the labour force,populationForce,2010,1511
"Unemployment rate, percentage",unemploymentRatePercentage,2010,27.2
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2010,51.5
"Employment rate, percentage",employmentRatePercentage,2010,37.5
Total 15 + population,totalPopulationOfWorkingAge,2009,3145.8
"Labour force (Active population), total",labourForceTotal,2009,1971.8
Employed,employed,2009,1611
Hired,hired,2009,634.5
Self-employed,selfEmployed,2009,975.2
Not-identified worker,notIdentifiedWorker,2009,1.3
Unemployed,unemployed,2009,360.8
Population outside the labour force,populationForce,2009,1174
"Unemployment rate, percentage",unemploymentRatePercentage,2009,18.3
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2009,62.7
"Employment rate, percentage",employmentRatePercentage,2009,51.2
Total 15 + population,totalPopulationOfWorkingAge,2008,3157.1
"Labour force (Active population), total",labourForceTotal,2008,1944.7
Employed,employed,2008,1597.3
Hired,hired,2008,621.8
Self-employed,selfEmployed,2008,974.4
Not-identified worker,notIdentifiedWorker,2008,1.1
Unemployed,unemployed,2008,347.4
Population outside the labour force,populationForce,2008,1212.4
"Unemployment rate, percentage",unemploymentRatePercentage,2008,17.9
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2008,61.6
"Employment rate, percentage",employmentRatePercentage,2008,50.6
Total 15 + population,totalPopulationOfWorkingAge,2007,3164.8
"Labour force (Active population), total",labourForceTotal,2007,1908.7
Employed,employed,2007,1577.3
Hired,hired,2007,628.5
Self-employed,selfEmployed,2007,948.7
Not-identified worker,notIdentifiedWorker,2007,0.1
Unemployed,unemployed,2007,331.4
Population outside the labour force,populationForce,2007,1256.1
"Unemployment rate, percentage",unemploymentRatePercentage,2007,17.4
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2007,60.3
"Employment rate, percentage",employmentRatePercentage,2007,49.8
Total 15 + population,totalPopulationOfWorkingAge,2006,3157.9
"Labour force (Active population), total",labourForceTotal,2006,1911.9
Employed,employed,2006,1618
Hired,hired,2006,608.4
Self-employed,selfEmployed,2006,1007.8
Not-identified worker,notIdentifiedWorker,2006,1.9
Unemployed,unemployed,2006,293.9
Population outside the labour force,populationForce,2006,1245.9
"Unemployment rate, percentage",unemploymentRatePercentage,2006,15.4
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2006,60.5
"Employment rate, percentage",employmentRatePercentage,2006,51.2
Total 15 + population,totalPopulationOfWorkingAge,2005,3160.3
"Labour force (Active population), total",labourForceTotal,2005,1982.7
Employed,employed,2005,1683
Hired,hired,2005,632.2
Self-employed,selfEmployed,2005,1050
Not-identified worker,notIdentifiedWorker,2005,0.8
Unemployed,unemployed,2005,299.7
Population outside the labour force,populationForce,2005,1177.6
"Unemployment rate, percentage",unemploymentRatePercentage,2005,15.1
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2005,62.7
"Employment rate, percentage",employmentRatePercentage,2005,53.3
Total 15 + population,totalPopulationOfWorkingAge,2004,3159.4
"Labour force (Active population), total",labourForceTotal,2004,2009.4
Employed,employed,2004,1730.8
Hired,hired,2004,636.2
Self-employed,selfEmployed,2004,1093
Not-identified worker,notIdentifiedWorker,2004,1.6
Unemployed,unemployed,2004,278.6
Population outside the labour force,populationForce,2004,1150
"Unemployment rate, percentage",unemploymentRatePercentage,2004,13.9
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2004,63.6
"Employment rate, percentage",employmentRatePercentage,2004,54.8
Total 15 + population,totalPopulationOfWorkingAge,2003,3163.3
"Labour force (Active population), total",labourForceTotal,2003,2049.5
Employed,employed,2003,1789.6
Hired,hired,2003,672.4
Self-employed,selfEmployed,2003,1115.9
Not-identified worker,notIdentifiedWorker,2003,1.3
Unemployed,unemployed,2003,259.9
Population outside the labour force,populationForce,2003,1113.8
"Unemployment rate, percentage",unemploymentRatePercentage,2003,12.7
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2003,64.8
"Employment rate, percentage",employmentRatePercentage,2003,56.6
Total 15 + population,totalPopulationOfWorkingAge,2001,3191
"Labour force (Active population), total",labourForceTotal,2001,2113.3
Employed,employed,2001,1877.7
Hired,hired,2001,654.3
Self-employed,selfEmployed,2001,1136.1
Not-identified worker,notIdentifiedWorker,2001,87.3
Unemployed,unemployed,2001,235.6
Population outside the labour force,populationForce,2001,1077.7
"Unemployment rate, percentage",unemploymentRatePercentage,2001,11.1
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2001,66.2
"Employment rate, percentage",employmentRatePercentage,2001,58.8
Total 15 + population,totalPopulationOfWorkingAge,2000,3141.6
"Labour force (Active population), total",labourForceTotal,2000,2049.2
Employed,employed,2000,1837.2
Hired,hired,2000,683.9
Self-employed,selfEmployed,2000,1041.2
Not-identified worker,notIdentifiedWorker,2000,112.1
Unemployed,unemployed,2000,212
Population outside the labour force,populationForce,2000,1092.3
"Unemployment rate, percentage",unemploymentRatePercentage,2000,10.3
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,2000,65.2
"Employment rate, percentage",employmentRatePercentage,2000,58.5
Total 15 + population,totalPopulationOfWorkingAge,1998,3016.8
"Labour force (Active population), total",labourForceTotal,1998,1972.8
Employed,employed,1998,1728.5
Hired,hired,1998,724.4
Self-employed,selfEmployed,1998,987.1
Not-identified worker,notIdentifiedWorker,1998,17
Unemployed,unemployed,1998,244.2
Population outside the labour force,populationForce,1998,1044
"Unemployment rate, percentage",unemploymentRatePercentage,1998,12.4
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,1998,65.4
"Employment rate, percentage",employmentRatePercentage,1998,57.3
Total 15 + population,totalPopulationOfWorkingAge,1999,3026.2
"Labour force (Active population), total",labourForceTotal,1999,1939.3
Employed,employed,1999,1694.4
Hired,hired,1999,697.5
Self-employed,selfEmployed,1999,918.6
Not-identified worker,notIdentifiedWorker,1999,78.4
Unemployed,unemployed,1999,244.9
Population outside the labour force,populationForce,1999,1086.9
"Unemployment rate, percentage",unemploymentRatePercentage,1999,12.6
"Labour force participation rate (Economic activity rate), percentage",labourForcePercentage,1999,64.1
"Employment rate, percentage",employmentRatePercentage,1999,56
